row_index,ra,ano_referencia,errors
94,RA-1017,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
99,RA-1018,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
104,RA-1019,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
109,RA-102,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
112,RA-1020,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":3.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
117,RA-1021,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
122,RA-1022,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
132,RA-1024,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
146,RA-1027,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":4.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
151,RA-1028,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
156,RA-1029,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
161,RA-103,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
171,RA-1031,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
185,RA-1034,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
190,RA-1035,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
195,RA-1036,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
223,RA-1041,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
245,RA-1046,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
249,RA-1047,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
263,RA-105,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
270,RA-1051,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
293,RA-1056,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
313,RA-106,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
323,RA-1061,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
353,RA-1067,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
373,RA-1070,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
383,RA-1072,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
397,RA-1075,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":4.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
407,RA-1077,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
412,RA-1078,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
416,RA-1079,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
429,RA-1081,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":3.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
443,RA-1084,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
448,RA-1085,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
456,RA-1087,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
461,RA-1088,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
465,RA-1089,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
474,RA-1090,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
483,RA-1092,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
487,RA-1093,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":4.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
492,RA-1094,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
497,RA-1095,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
507,RA-1097,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":3.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
522,RA-11,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
530,RA-1100,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
544,RA-1103,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":4.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
553,RA-1105,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":4.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
557,RA-1106,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
576,RA-111,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
581,RA-1110,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
590,RA-1112,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
624,RA-1119,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
629,RA-112,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
648,RA-1123,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
664,RA-1127,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
669,RA-1128,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
673,RA-1129,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
678,RA-113,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
682,RA-1130,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
687,RA-1131,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
692,RA-1132,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
696,RA-1133,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
701,RA-1134,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
710,RA-1136,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
715,RA-1137,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
724,RA-1139,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
738,RA-1141,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
743,RA-1142,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":3.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
757,RA-1145,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
771,RA-1148,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
775,RA-1149,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
780,RA-115,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
785,RA-1150,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
814,RA-1156,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
824,RA-1158,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
828,RA-1159,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
842,RA-1161,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
860,RA-1165,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
865,RA-1166,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":3.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
870,RA-1167,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
874,RA-1168,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
884,RA-117,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
887,RA-1170,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
892,RA-1171,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
897,RA-1172,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
902,RA-1173,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
907,RA-1174,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
912,RA-1175,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
916,RA-1176,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":3.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
926,RA-1178,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
935,RA-118,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
942,RA-1181,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
968,RA-1187,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
972,RA-1188,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
977,RA-1189,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
987,RA-1190,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
991,RA-1191,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":3.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
